customer_id,city,signup_date
122,Ahmedabad,2024-07-29
123,Kolkata,2025-03-18
124,Mumbai,2024-12-10
125,Hyderabad,2024-02-01
126,Pune,2025-01-07
127,Mumbai,2025-02-13
128,Bangalore,2024-05-07
129,Ahmedabad,2024-04-07
130,Hyderabad,2024-03-12
131,Chennai,2024-04-03
132,Bangalore,2024-08-24
133,Mumbai,2025-03-23
134,Mumbai,2024-08-14
135,Kolkata,2024-01-26
136,Mumbai,2025-05-11
137,Bangalore,2025-04-19
138,Hyderabad,2024-03-26
139,Ahmedabad,2024-09-05
140,Hyderabad,2024-04-19
141,Kolkata,2025-04-07
142,Hyderabad,2024-03-25
143,Hyderabad,2024-01-02
144,Ahmedabad,2024-05-15
145,Hyderabad,2024-05-26
146,Ahmedabad,2024-12-22
147,Bangalore,2024-03-20
148,Bangalore,2024-05-31
149,Kolkata,2025-05-10
150,Kolkata,2024-10-23
151,Pune,2025-01-17
152,Kolkata,2024-01-30
153,Ahmedabad,2024-10-26
154,Delhi,2024-09-14
155,Mumbai,2024-01-30
156,Delhi,2025-03-11
157,Mumbai,2024-02-05
158,Bangalore,2024-12-11
159,Mumbai,2024-07-25
160,Bangalore,2025-04-27
161,Kolkata,2024-10-23
162,Mumbai,2024-11-13
163,Pune,2024-08-02
164,Chennai,2025-04-23
165,Pune,2024-04-14
166,Chennai,2024-05-02
167,Delhi,2024-07-21
168,Chennai,2024-12-09
169,Pune,2024-08-22
170,Mumbai,2025-04-20
171,Ahmedabad,2024-01-05
172,Mumbai,2024-11-14
173,Bangalore,2024-02-07
174,Chennai,2024-09-16
175,Pune,2024-03-08
176,Mumbai,2025-03-27
177,Bangalore,2025-03-26
178,Chennai,2024-07-08
179,Ahmedabad,2024-03-21
180,Chennai,2025-03-02
181,Kolkata,2024-11-09
182,Chennai,2024-12-07
183,Mumbai,2025-04-22
184,Delhi,2025-04-25
185,Mumbai,2024-05-15
186,Mumbai,2025-03-31
187,Delhi,2025-01-15
188,Chennai,2024-05-19
189,Bangalore,2024-11-05
190,Pune,2025-01-02
191,Chennai,2024-04-14
192,Ahmedabad,2024-09-15
193,Kolkata,2024-05-08
194,Hyderabad,2024-02-17
195,Chennai,2025-02-28
196,Kolkata,2024-01-23
197,Delhi,2024-06-19
198,Chennai,2024-11-22
199,Ahmedabad,2024-03-23
200,Hyderabad,2024-10-09
201,Kolkata,2024-10-14
202,Mumbai,2024-02-27
203,Delhi,2025-04-28
204,Kolkata,2024-10-06
205,Pune,2025-03-03
206,Delhi,2024-10-25
207,Delhi,2024-08-08
208,Chennai,2024-01-22
209,Kolkata,2024-07-05
210,Pune,2025-04-05
211,Bangalore,2024-04-17
212,Mumbai,2024-12-07
213,Hyderabad,2024-06-30
214,Delhi,2025-05-13
215,Bangalore,2025-04-18
216,Delhi,2025-03-18
217,Delhi,2025-05-14
218,Hyderabad,2025-03-27
219,Delhi,2024-01-13
220,Pune,2025-01-12
221,Hyderabad,2025-02-04
222,Bangalore,2025-02-14
223,Delhi,2024-05-16
224,Mumbai,2025-02-07
225,Kolkata,2024-07-14
226,Ahmedabad,2025-03-15
227,Bangalore,2024-04-23
228,Ahmedabad,2025-02-22
229,Chennai,2024-06-28
230,Bangalore,2025-02-24
231,Kolkata,2024-04-24
232,Bangalore,2024-12-03
233,Pune,2024-07-23
234,Mumbai,2024-05-22
235,Chennai,2025-05-10
236,Hyderabad,2024-06-28
237,Pune,2024-12-13
238,Kolkata,2025-04-25
239,Chennai,2024-02-29
240,Chennai,2024-04-01
241,Mumbai,2024-01-20
242,Hyderabad,2024-11-01
243,Pune,2024-06-25
244,Mumbai,2024-08-11
245,Bangalore,2024-07-16
246,Kolkata,2024-05-10
247,Hyderabad,2024-12-28
248,Bangalore,2024-01-01
249,Hyderabad,2024-07-05
250,Pune,2024-02-05
251,Pune,2024-11-15
252,Mumbai,2024-12-05
253,Chennai,2025-01-03
254,Chennai,2024-09-16
255,Hyderabad,2024-12-07
256,Hyderabad,2024-06-16
257,Chennai,2024-12-22
258,Delhi,2024-10-10
259,Hyderabad,2024-04-08
260,Hyderabad,2024-12-06
261,Delhi,2024-12-12
262,Chennai,2024-11-11
263,Kolkata,2024-07-26
264,Chennai,2024-06-04
265,Hyderabad,2024-04-17
266,Pune,2025-02-06
267,Ahmedabad,2024-08-26
268,Bangalore,2024-08-14
269,Ahmedabad,2024-09-18
270,Delhi,2025-02-10
271,Mumbai,2024-12-03
272,Pune,2024-05-25
273,Bangalore,2024-02-17
274,Chennai,2024-12-10
275,Bangalore,2024-04-25
276,Kolkata,2024-03-16
277,Bangalore,2024-01-24
278,Mumbai,2024-08-31
279,Hyderabad,2024-08-21
280,Bangalore,2025-03-29
281,Hyderabad,2025-01-02
282,Hyderabad,2024-09-10
283,Delhi,2024-05-04
284,Kolkata,2024-12-01
285,Mumbai,2025-04-02
286,Hyderabad,2025-02-02
287,Delhi,2024-04-22
288,Ahmedabad,2025-02-15
289,Bangalore,2024-01-26
290,Mumbai,2025-04-14
291,Delhi,2024-08-21
292,Ahmedabad,2025-02-14
293,Pune,2024-12-07
294,Ahmedabad,2025-05-01
295,Hyderabad,2024-11-09
296,Ahmedabad,2025-03-01
297,Delhi,2025-04-04
298,Ahmedabad,2025-01-15
299,Chennai,2024-08-18
300,Bangalore,2025-01-19
301,Chennai,2025-03-06
302,Ahmedabad,2025-01-27
303,Bangalore,2024-11-16
304,Ahmedabad,2024-05-20
305,Chennai,2024-02-09
306,Chennai,2024-04-30
307,Pune,2024-06-20
308,Mumbai,2025-04-02
309,Delhi,2024-03-11
310,Hyderabad,2024-04-28
311,Delhi,2024-12-21
312,Bangalore,2024-12-27
313,Hyderabad,2024-02-02
314,Pune,2024-07-27
315,Ahmedabad,2024-10-04
316,Kolkata,2024-07-31
317,Hyderabad,2024-04-15
318,Kolkata,2024-07-18
319,Hyderabad,2025-03-14
320,Kolkata,2024-09-01
321,Pune,2025-04-27
322,Hyderabad,2024-06-01
323,Hyderabad,2025-03-12
324,Bangalore,2024-10-02
325,Bangalore,2024-09-06
326,Hyderabad,2024-05-19
327,Kolkata,2024-09-05
328,Pune,2024-07-18
329,Hyderabad,2024-12-08
330,Delhi,2025-01-05
331,Ahmedabad,2025-03-06
332,Delhi,2025-04-15
333,Kolkata,2024-11-14
334,Hyderabad,2025-04-09
335,Kolkata,2024-10-30
336,Hyderabad,2024-02-12
337,Ahmedabad,2024-03-10
338,Kolkata,2024-04-03
339,Hyderabad,2024-05-13
340,Bangalore,2024-06-16
341,Pune,2024-08-20
342,Hyderabad,2024-06-21
343,Hyderabad,2024-05-22
344,Mumbai,2024-05-09
345,Kolkata,2024-08-28
346,Kolkata,2025-01-18
347,Pune,2025-05-02
348,Mumbai,2024-04-24
349,Kolkata,2025-02-03
350,Kolkata,2025-01-21
351,Bangalore,2025-05-01
352,Kolkata,2024-04-12
353,Delhi,2024-11-14
354,Delhi,2024-05-02
355,Mumbai,2024-08-30
356,Bangalore,2024-10-15
357,Chennai,2024-08-26
358,Pune,2025-01-27
359,Mumbai,2024-03-26
360,Delhi,2025-02-02
361,Chennai,2025-05-08
362,Kolkata,2024-02-25
363,Chennai,2025-04-20
364,Hyderabad,2024-10-21
365,Bangalore,2024-07-22
366,Bangalore,2024-02-08
367,Chennai,2024-02-22
368,Mumbai,2025-03-11
369,Kolkata,2025-02-11
370,Hyderabad,2024-06-26
371,Pune,2024-12-04
372,Pune,2024-02-05
373,Hyderabad,2024-01-07
374,Ahmedabad,2025-02-25
375,Hyderabad,2024-02-24
376,Pune,2025-05-06
377,Ahmedabad,2024-11-21
378,Delhi,2024-12-28
379,Delhi,2024-08-10
380,Chennai,2025-01-10
381,Ahmedabad,2024-11-11
382,Hyderabad,2024-08-26
383,Chennai,2025-02-26
384,Bangalore,2024-06-14
385,Mumbai,2025-03-01
386,Ahmedabad,2024-05-22
387,Ahmedabad,2024-05-04
388,Hyderabad,2024-10-18
389,Kolkata,2024-06-21
390,Pune,2024-09-10
391,Ahmedabad,2024-04-03
392,Pune,2024-04-18
393,Chennai,2025-02-12
394,Chennai,2024-06-23
395,Chennai,2025-03-26
396,Kolkata,2024-10-11
397,Bangalore,2024-09-21
398,Bangalore,2024-02-13
399,Hyderabad,2025-01-03
400,Bangalore,2024-09-07
401,Ahmedabad,2024-12-19
402,Ahmedabad,2024-11-26
403,Kolkata,2024-08-17
404,Chennai,2024-02-17
405,Hyderabad,2024-04-23
406,Bangalore,2024-12-20
407,Pune,2024-06-05
408,Pune,2024-08-30
409,Pune,2024-08-05
410,Ahmedabad,2024-06-29
411,Chennai,2024-05-18
412,Bangalore,2024-05-08
413,Bangalore,2024-03-02
414,Mumbai,2024-06-10
415,Delhi,2025-01-15
416,Bangalore,2024-04-08
417,Ahmedabad,2025-01-13
418,Chennai,2024-05-21
419,Bangalore,2024-02-21
420,Bangalore,2024-05-31
421,Delhi,2024-07-03
422,Kolkata,2024-06-03
423,Delhi,2024-12-28
424,Kolkata,2024-05-20
425,Kolkata,2025-05-13
426,Chennai,2024-10-10
427,Delhi,2024-12-23
428,Ahmedabad,2024-11-22
429,Kolkata,2024-02-22
430,Chennai,2024-10-20
431,Ahmedabad,2024-08-28
432,Pune,2024-08-13
433,Kolkata,2024-04-04
434,Ahmedabad,2024-05-09
435,Mumbai,2024-02-28
436,Ahmedabad,2024-07-24
437,Kolkata,2024-02-07
438,Delhi,2024-03-18
439,Chennai,2025-02-19
440,Bangalore,2024-02-13
441,Hyderabad,2024-03-01
442,Bangalore,2024-11-06
443,Hyderabad,2025-02-01
444,Ahmedabad,2024-08-18
445,Hyderabad,2024-06-01
446,Kolkata,2024-06-05
447,Mumbai,2024-11-08
448,Bangalore,2025-04-30
449,Bangalore,2024-11-16
450,Mumbai,2024-05-15
451,Bangalore,2024-03-21
452,Mumbai,2024-03-29
453,Kolkata,2024-03-21
454,Ahmedabad,2024-07-28
455,Ahmedabad,2024-12-18
456,Kolkata,2024-05-29
457,Chennai,2024-04-28
458,Chennai,2024-12-27
459,Ahmedabad,2024-12-25
460,Bangalore,2024-02-06
461,Chennai,2025-04-18
462,Bangalore,2025-02-07
463,Mumbai,2024-08-05
464,Bangalore,2024-10-05
465,Delhi,2024-11-27
466,Chennai,2025-04-10
467,Delhi,2025-02-27
468,Kolkata,2024-02-06
469,Chennai,2024-03-25
470,Chennai,2024-10-31
471,Mumbai,2024-08-12
472,Chennai,2024-08-27
473,Hyderabad,2024-12-24
474,Chennai,2025-04-27
475,Ahmedabad,2024-09-13
476,Mumbai,2024-08-12
477,Kolkata,2024-11-02
478,Hyderabad,2025-03-31
479,Pune,2025-01-11
480,Chennai,2024-11-05
481,Mumbai,2024-01-14
482,Kolkata,2024-04-27
483,Chennai,2025-01-26
484,Kolkata,2024-10-22
485,Delhi,2025-01-25
486,Ahmedabad,2024-08-28
487,Chennai,2025-04-14
488,Hyderabad,2024-04-02
489,Ahmedabad,2024-11-21
490,Mumbai,2025-05-11
491,Pune,2024-08-28
492,Pune,2024-07-28
493,Mumbai,2024-06-13
494,Delhi,2025-03-15
495,Hyderabad,2024-06-17
496,Ahmedabad,2024-12-21
497,Hyderabad,2024-05-27
498,Kolkata,2025-02-20
499,Mumbai,2024-08-20
500,Chennai,2024-06-10
